ID	GeoGroup	BerryColour
Belle Denise	WCEUR	N
Centennial seedless	NEWO	B
Abouhou	MAGH	N
Siah	MFEAS	B
Olivette rose	WCEUR	Rg
Tsitsa Kaprei	BALK	B
Tibouren	WCEUR	N
Labrusco	IBER	N
Koutlaksky belyi	RUUK	B-Rs
Pasiga	NEWO	N
Kichmich tcherni	EMCA	N
Variété d'oasis Bou Chemma 46	MAGH	B-Rs
C 50-171 (Ramming)	NEWO	N
B 40-97 (Ramming)	NEWO	B
Chami abiad	EMCA	B
Angoor Kalan	MFEAS	Rs
Doppel Augen	EMCA	B
Garbanega faux	ITAP	B
Gharbi	EMCA	B
Graeco	MAGH	B
Khoussaïné blanc	MFEAS	B
Kolossié gebirgig	RUUK	N
Nero grosso	ITAP	N
Öküz gözü faux	EMCA	B
Plyto	BALK	B
Chirai obak	MFEAS	B
Tavkveri	EMCA	N
Baresana	ITAP	B
Zeini abiad	EMCA	B
Vassarga bielaia	MFEAS	B
Perricone	ITAP	N
Ohanes	IBER	B
Teta de Vaca	IBER	B
Assoued kere	EMCA	B
Chahnani	EMCA	B
Verico	BALK	Rg
Tachtas	BALK	B
Hadari	MAGH	B
Bou Khanzir noir	MAGH	N
Garrido macho	IBER	B
Azizi el Jaïa	MAGH	B
Khalt	MAGH	B
Bogazkere	EMCA	N
Razdani	EMCA	N
July Muscat	NEWO	B
Negru mare	BALK	N
Alexandroouli	EMCA	N
Arakseni tcherni	EMCA	N
Assyl kara	RUUK	N
Peikani	MFEAS	N
Koz ouzioum	RUUK	B
Sapéré otskhanouri faux	EMCA	N
Soïaki	MFEAS	B
Tagobi	MFEAS	N
Emerald seedless	NEWO	B
Sultanina de Bulgarie	BALK	B
Ag Kiourdach faux	EMCA	N
Sourkhak biely	MFEAS	B
Autumn seedless	NEWO	B
Gantziandan	EMCA	B
Asswad Abou Khislé	EMCA	N
Katta-kourgan	MFEAS	B
Akiki	BALK	Rs
Darkaia noir	MAGH	N
Hunisa	MFEAS	N-Rg
Khalili belyi	MFEAS	B
Danugue	IBER	N
Molinera gorda	IBER	Rg
Nehelescol	EMCA	B
Dabouki	EMCA	B
Kizil sapak faux	RUUK	N
Ahmar Derani	EMCA	Rg
Barlinka faux (Almeria)	NEWO	N
Doight du neigne	EMCA	N-Rg
Ortega	WCEUR	B
Ruby Cabernet	NEWO	N
Grillo	ITAP	B
Aïn el Bouma	MAGH	B
Greco di Tufo	ITAP	B
Athiri lefko (Kotinis)	BALK	B
Amessasse	MAGH	B
Bobal	IBER	N
Grechetto	ITAP	B
Monica femelle (Tunisie)	MAGH	N
Cardinal	NEWO	Rg
Vernaccia di San Gimignano	ITAP	B
Tinta Barroca	IBER	N
Outanant	MAGH	B
Fiano	ITAP	B
Crimson seedless	NEWO	Rg
Khikhvi	EMCA	B
Raisaine	WCEUR	B
Persan	WCEUR	N
Vintaïu	WCEUR	N
Big Muscat seedless	NEWO	B
Syrah	WCEUR	N
Sultanine	BALK	B
Kizil Yakdona	RUUK	Rs
Matilde	ITAP	B
Zweigelt	WCEUR	N
Dermatas	BALK	B
Teinturier	WCEUR	N
Tini	MAGH	Rg
Mai 3	BALK	B
Kapistroni tétri hermaphrodite	RUUK	B
Sultana moscata	ITAP	B
Morenzi	BALK	Rg
Fiesta	NEWO	B
Velika	BALK	N
Maratheftiko	BALK	N
Gamay	WCEUR	N
Vigne sauvage faux Fethiye 58-64	EMCA	nd
Obeidi	EMCA	B
Grappenoux	WCEUR	N
Picolit	ITAP	B
Lignan	ITAP	B
Naosé	MFEAS	Rg
Pinotage	NEWO	N
Servanin	WCEUR	N
Ithaki	BALK	Rs
Arneis	ITAP	B
Badagui noir	EMCA	N
Hweidi	EMCA	B
Castelão	IBER	N
Dedo de Dama	IBER	B
Roi des précoces	WCEUR	N
Heptakilo	BALK	N
Moscatuel	NEWO	Rs
Semidano	ITAP	B
Arrouya	WCEUR	N
Merbein seedless	NEWO	B
Sylvaner	WCEUR	B
Santanera	IBER	B
Madeleine angevine Oberlin	WCEUR	B
Basilikumtraube	WCEUR	B
Mondeuse	WCEUR	N
Maturana blanca	IBER	B
Moravia agria	IBER	N
Arinto do Dão	IBER	B
Verjus	WCEUR	B
Nimrang rouge	MFEAS	Rg
Pinot noir	WCEUR	N
Cayam	WCEUR	B
Prima	WCEUR	N
Mourisco tinto	IBER	N
Asprinio bianco	ITAP	B
Houssein rouge	NEWO	N-Rg
Kanzler	WCEUR	B
Douradinha	IBER	B
Orangetraube	WCEUR	B
Kandahari siah	MFEAS	N-Rg
Piedirosso	ITAP	N
Trebbiano spoletino	ITAP	B
Irsai Oliver	BALK	B
Lambrusco Salamino	ITAP	N
Miguel de Arco	IBER	N
Gibi	IBER	B
Quiebratinajas	IBER	N
Olivette blanche	nd	B
Madeleine Salomon	ITAP	B
Loureiro	IBER	B
Chardonnay	WCEUR	B
Sercial	IBER	B
Verduzzo friulano	ITAP	B
Uva di Trojanero	ITAP	B
Chenin	WCEUR	B
Gros Maroc	nd	N
Flame seedless	NEWO	Rg
Red Globe	NEWO	N-Rg
Flora	NEWO	Rs
Riesling	WCEUR	B
Rossignola	ITAP	N
Cinsaut	WCEUR	N
Sublima seedless	NEWO	B
Plant de Roubia (Marre)	WCEUR	N
Pougayen	WCEUR	N
Pannonia kincse	BALK	B
Bermestia bianca	ITAP	B
Big Perlon	NEWO	N
Corbina vicentina o nostrana	ITAP	N
Mourvèdre	IBER	N
Kotsiphali faux	BALK	N
Garganega	ITAP	B
Sagrantino	ITAP	N
Grüner Veltliner	WCEUR	B
Riesling italico	ITAP	B
Limberger	WCEUR	N
Aetonychi mavro	BALK	N
Roumi noir	BALK	N
Malvar	IBER	B
César	WCEUR	N
Diagalves	IBER	B
Madeleine de Clermont	WCEUR	B
Turki	MAGH	Rs
Calabrese	ITAP	N
Epinou	WCEUR	N
Schiradzouli	MFEAS	B
Coada vulpii	BALK	Rs
Criolla grande sanjuanina	NEWO	N
Tantovina	WCEUR	B
Baratcsuha szürke	BALK	G
Goher	BALK	B
Rubinovyi Magaracha	RUUK	N
Königstraube	WCEUR	B
Nerello Cappuccio	ITAP	N
Kara ouzume Aschkhabadsky	MFEAS	N
Furmint	BALK	B
Stavroto	BALK	N
Mancin	WCEUR	N
Krakhouna	EMCA	B
Victoria	BALK	B
Misket Rusenski	BALK	N
Alicante Henri Bouschet	WCEUR	N
Odem	EMCA	Rg
Öküzgözü	EMCA	N
Siegerrebe	WCEUR	Rs
Matrassa	EMCA	N
Voïdomatis	BALK	N
Khindogny	MFEAS	N
Bajor kék	BALK	N
Bakhtiori	MFEAS	B
Aïdani mavro	BALK	N
Glycostaphyllo	EMCA	Rg
Romeïko	BALK	N
Fer	WCEUR	N
Saperavi	EMCA	N
Gamaret	WCEUR	N
Plant d'Arrat	WCEUR	N
Balouti (Abbaye de Latroun)	EMCA	nd
Skylopnichtis	BALK	N-Rg
Négret castrais	WCEUR	N
Rannii Vira	RUUK	B
Aragatzi	EMCA	Rs
Papazkarasi	EMCA	N
Macabeu	IBER	B
Bastardo Magaratchskii	RUUK	N
Grec rouge	WCEUR	Rs
Italia	ITAP	B
Grenache	IBER	N
Tsitska	EMCA	B
Meslier Saint-François	WCEUR	B
Merlot	WCEUR	N
Goldriesling	WCEUR	B
Xinisteri	BALK	B
Grignolino	ITAP	N
Portugais bleu	WCEUR	N
Fuella nera	WCEUR	N
Ichkimar biely faux	MFEAS	B
Grassen	WCEUR	N
Harslevelu	BALK	B
Sibirkovy	RUUK	B
Perlon	NEWO	N
Muscat d'Istamboul	MAGH	B
Rabigato	IBER	B
Chava	BALK	N
Kadarka	BALK	N
Avassirkhva	EMCA	B
Assouad karech	EMCA	N
Bondola	WCEUR	N
Petit Bouschet	WCEUR	N
Tressot	WCEUR	N
Mayorquin	MAGH	B
Asprouda Santorinis	BALK	B
Assouad Koupti	EMCA	N
Bayan Shirei	EMCA	B
Kasoufi de la Bekaa	EMCA	B
Tinto Cao	IBER	N
Sauvaget noir	WCEUR	N
Wildrebe von Bauer	WCEUR	N
Bastardo espanhol	IBER	N
Sytanich	WCEUR	N
Feteasca alba	BALK	B
Verdea noir	ITAP	N
